Year,Quarter,Course,Credits,Course-type,Total units
1,Fa,Beng 230a,4,core,
1,,Beng 260,4,core,
1,,Beng 281,1,core,
1,,Beng 282,1,core,
1,,Beng 299,4,research,14
1,Wi,Beng 212,4,core,
1,,Beng 230b,4,core,
1,,Beng 281,1,core,
1,,Beng 299,4,research,
1,,Beng 501,2,ta,15
1,Sp,Beng 226,4,core,
1,,Beng 227,4,core,
1,,Beng 281,1,core,
1,,Beng 299,4,research,13
2,Fa,Beng 234,4,Elective,
2,,Beng 299,8,Research,
2,,Beng 501,2,ta,14
2,Wi,Beng 276,4,elective,
2,,Beng 299,4,research,
2,,Beng 501,2,ta,
2,,Phys 278,4,elective,14
2,Sp,Beng 292,1,Core,
2,,Beng 299,8,research,
2,,Cogs 260,4,elective,13